GEOID,NAME,STUSPS,date,mort_adj
24,Maryland,MD,2006,20.96895404191694
24,Maryland,MD,2007,15.388947693143676
24,Maryland,MD,2008,10.202349530735898
24,Maryland,MD,2009,9.946970432019612
24,Maryland,MD,2010,8.98288828880124
24,Maryland,MD,2011,8.218838914353022
24,Maryland,MD,2012,8.66113316492241
24,Maryland,MD,2013,9.61993331192195
24,Maryland,MD,2014,9.899222558683933
24,Maryland,MD,2015,11.522030121592486
24,Maryland,MD,2016,12.485404562066943
24,Maryland,MD,2017,13.270990642956273
24,Maryland,MD,2018,13.074809591878921
24,Maryland,MD,2019,13.70778374203999
24,Maryland,MD,2020,14.36638780462109
24,Maryland,MD,2021,17.165866807448367
24,Maryland,MD,2022,13.46532378993381
24,Maryland,MD,2023,9.870146092724683
25,Massachusetts,MA,2000,16.03495242335293
25,Massachusetts,MA,2001,15.943394073496545
25,Massachusetts,MA,2002,16.82975425753825
25,Massachusetts,MA,2003,17.282814576419234
25,Massachusetts,MA,2004,17.15458196545036
25,Massachusetts,MA,2005,17.02249937141688
25,Massachusetts,MA,2006,14.820398609441
25,Massachusetts,MA,2007,12.127697188193407
25,Massachusetts,MA,2008,9.275051178959485
25,Massachusetts,MA,2009,8.898963470215246
25,Massachusetts,MA,2010,8.375923635942764
25,Massachusetts,MA,2011,7.559472639093541
25,Massachusetts,MA,2012,9.303345948370332
25,Massachusetts,MA,2013,9.82851036416418
25,Massachusetts,MA,2014,9.75629369636995
25,Massachusetts,MA,2015,10.297927880374562
25,Massachusetts,MA,2016,11.717697238138761
25,Massachusetts,MA,2017,11.510061833800535
25,Massachusetts,MA,2018,11.037335238725943
25,Massachusetts,MA,2019,11.022667099644766
25,Massachusetts,MA,2020,12.040198596548032
25,Massachusetts,MA,2021,13.014965350872739
25,Massachusetts,MA,2022,11.743241191853054
25,Massachusetts,MA,2023,8.141230059878033
26,Michigan,MI,2000,18.48791001210757
26,Michigan,MI,2001,18.116087085331774
26,Michigan,MI,2002,17.372707476554332
26,Michigan,MI,2003,17.52786931220641
26,Michigan,MI,2004,16.608132117193744
26,Michigan,MI,2005,16.615035691981912
26,Michigan,MI,2006,14.348230150792924
26,Michigan,MI,2007,11.29854926627421
26,Michigan,MI,2008,8.344317504699209
26,Michigan,MI,2009,7.675534164156043
26,Michigan,MI,2010,6.884265474689846
26,Michigan,MI,2011,6.98164828216544
26,Michigan,MI,2012,8.183232475834965
26,Michigan,MI,2013,9.480774300888712
26,Michigan,MI,2014,9.665694828037724
26,Michigan,MI,2015,10.97188449565015
26,Michigan,MI,2016,12.055313394447746
26,Michigan,MI,2017,12.629360737843339
26,Michigan,MI,2018,12.415785429595186
26,Michigan,MI,2019,12.418882911466886
26,Michigan,MI,2020,12.74261768484697
26,Michigan,MI,2021,14.245699666580894
26,Michigan,MI,2022,11.960195274108239
26,Michigan,MI,2023,9.564362229895188
27,Minnesota,MN,2000,18.64729294005382
27,Minnesota,MN,2001,19.66767252763308
27,Minnesota,MN,2002,20.123791202715317
27,Minnesota,MN,2003,21.568902154753115
27,Minnesota,MN,2004,20.244852647938277
27,Minnesota,MN,2005,20.90007848272462
27,Minnesota,MN,2006,18.204512201380638
27,Minnesota,MN,2007,14.595167501631876
27,Minnesota,MN,2008,11.435066546369766
27,Minnesota,MN,2009,11.361047852165502
27,Minnesota,MN,2010,9.414539890723553
27,Minnesota,MN,2011,9.35170257097007
27,Minnesota,MN,2012,10.785681078568109
27,Minnesota,MN,2013,12.37367310824083
27,Minnesota,MN,2014,12.28756947290912
27,Minnesota,MN,2015,13.858492392964116
27,Minnesota,MN,2016,14.840661965917151
27,Minnesota,MN,2017,14.723618821309673
27,Minnesota,MN,2018,14.619982092304861
27,Minnesota,MN,2019,14.184263871279224
27,Minnesota,MN,2020,14.494439261405798
27,Minnesota,MN,2021,15.739857235997121
27,Minnesota,MN,2022,12.59996850007875
27,Minnesota,MN,2023,9.93392199082768
28,Mississippi,MS,2000,10.532402409392375
28,Mississippi,MS,2001,10.164760248356638
28,Mississippi,MS,2002,9.794727008714858
28,Mississippi,MS,2003,10.110476126725406
28,Mississippi,MS,2004,11.076458717692221
28,Mississippi,MS,2005,11.7001606707358
28,Mississippi,MS,2006,12.736757386802928
28,Mississippi,MS,2007,11.269144740212065
28,Mississippi,MS,2008,7.802413048891277
28,Mississippi,MS,2009,5.745623018182531
28,Mississippi,MS,2010,5.722720716080677
28,Mississippi,MS,2011,5.370664824528632
28,Mississippi,MS,2012,5.360854171699448
28,Mississippi,MS,2013,6.354857234787559
28,Mississippi,MS,2014,6.350496608834811
28,Mississippi,MS,2015,6.688446477880806
28,Mississippi,MS,2016,8.025158873067065
28,Mississippi,MS,2017,8.693692458623039
28,Mississippi,MS,2018,9.051657811128107
28,Mississippi,MS,2019,8.730026287452231
28,Mississippi,MS,2020,10.449017893437546
28,Mississippi,MS,2021,11.866088144014983
28,Mississippi,MS,2022,10.54806378380144
28,Mississippi,MS,2023,7.823954226466057
29,Missouri,MO,2000,15.337190815162776
29,Missouri,MO,2001,16.663292645354435
29,Missouri,MO,2002,16.21195367258021
29,Missouri,MO,2003,18.040415083678628
29,Missouri,MO,2004,18.26804652471293
29,Missouri,MO,2005,18.651883322107665
29,Missouri,MO,2006,18.14228480511763
29,Missouri,MO,2007,15.456181555442171
29,Missouri,MO,2008,11.310086098452443
29,Missouri,MO,2009,10.233031285563978
29,Missouri,MO,2010,8.338768820809698
29,Missouri,MO,2011,7.818761767652352
29,Missouri,MO,2012,8.96112811973793
29,Missouri,MO,2013,9.928861363143305
29,Missouri,MO,2014,9.40729114575855
29,Missouri,MO,2015,11.192658406155566
29,Missouri,MO,2016,12.476639134882975
29,Missouri,MO,2017,12.92669972192869
29,Missouri,MO,2018,12.569405153717295
29,Missouri,MO,2019,12.865454219746843
29,Missouri,MO,2020,14.14278162179666
29,Missouri,MO,2021,15.071973535559243
29,Missouri,MO,2022,12.789032126048701
29,Missouri,MO,2023,10.328984615622977
30,Montana,MT,2000,13.277670388471442
30,Montana,MT,2001,15.436165391896674
30,Montana,MT,2002,15.356484330353078
30,Montana,MT,2003,17.39830149081696
30,Montana,MT,2004,16.128876172166077
30,Montana,MT,2005,17.019429806552903
30,Montana,MT,2006,17.8441720933943
30,Montana,MT,2007,14.512193352171543
30,Montana,MT,2008,11.26570157156537
30,Montana,MT,2009,11.179066283732832
30,Montana,MT,2010,9.084210632563867
30,Montana,MT,2011,9.022393580867714
30,Montana,MT,2012,9.958493001171119
30,Montana,MT,2013,11.832475807517172
30,Montana,MT,2014,10.756294632511194
30,Montana,MT,2015,12.603066423007384
30,Montana,MT,2016,12.47436757355319
30,Montana,MT,2017,13.284471780935265
30,Montana,MT,2018,13.184933764543453
30,Montana,MT,2019,13.082608260919539
30,Montana,MT,2020,15.732335594779455
30,Montana,MT,2021,15.3656204185595
30,Montana,MT,2022,11.577393091680486
30,Montana,MT,2023,8.827590103212184
31,Nebraska,NE,2000,15.170788064090743
31,Nebraska,NE,2001,16.862072895322576
31,Nebraska,NE,2002,16.77957197047721
31,Nebraska,NE,2003,17.2548360991877
31,Nebraska,NE,2004,16.577396434144863
31,Nebraska,NE,2005,16.463269593987388
31,Nebraska,NE,2006,16.35929063859337
